"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","480","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:25:16 MSK 2025","passed","Tue Jun 17 22:25:17 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","9074","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" в середине главной страницы, в конце появляется всплывающее окно ""Заказ оформлен""","tests","Tue Jun 17 22:26:37 MSK 2025","passed","Tue Jun 17 22:26:46 MSK 2025","TestEnterDataAndSuccessfulOrder","test_check_enter_data_order","",""
"","4263","Тест перехода на страницу ""Дзена"" путем нажатия на логотип ""Яндекс""","tests","Tue Jun 17 22:27:07 MSK 2025","passed","Tue Jun 17 22:27:11 MSK 2025","TestLogo","test_logo","",""
"","456","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:24:55 MSK 2025","passed","Tue Jun 17 22:24:55 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","9113","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" вверху главной страницы, c параметризацией, тестируется два пользователя","tests","Tue Jun 17 22:25:59 MSK 2025","passed","Tue Jun 17 22:26:08 MSK 2025","TestEnterDataAndSuccessfulOrder","test_check_enter_data_order","",""
"","452","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:25:37 MSK 2025","passed","Tue Jun 17 22:25:38 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","459","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:24:44 MSK 2025","passed","Tue Jun 17 22:24:45 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","462","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:25:27 MSK 2025","passed","Tue Jun 17 22:25:27 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","442","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:25:48 MSK 2025","passed","Tue Jun 17 22:25:49 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","463","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:24:34 MSK 2025","passed","Tue Jun 17 22:24:34 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","9011","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" вверху главной страницы, c параметризацией, тестируется два пользователя","tests","Tue Jun 17 22:26:18 MSK 2025","passed","Tue Jun 17 22:26:27 MSK 2025","TestEnterDataAndSuccessfulOrder","test_check_enter_data_order","",""
"","652","Тест перехода на главную страницу путем нажатия на логотип ""Самокат""","tests","Tue Jun 17 22:26:56 MSK 2025","passed","Tue Jun 17 22:26:57 MSK 2025","TestLogo","test_logo","",""
"","448","Проверка соответствия текста вопроса и ответа","tests","Tue Jun 17 22:25:06 MSK 2025","passed","Tue Jun 17 22:25:06 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
