"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3986","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" вверху главной страницы, c параметризацией, тестируется два пользователя","tests","Thu Jun 19 00:26:35 MSK 2025","passed","Thu Jun 19 00:26:39 MSK 2025","TestEnterDataAndSuccessfulOrder","test_check_enter_data_order","",""
"","4006","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" вверху главной страницы, c параметризацией, тестируется два пользователя","tests","Thu Jun 19 00:26:20 MSK 2025","passed","Thu Jun 19 00:26:24 MSK 2025","TestEnterDataAndSuccessfulOrder","test_check_enter_data_order","",""
"","4013","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" в середине главной страницы, в конце появляется всплывающее окно ""Заказ оформлен""","tests","Thu Jun 19 00:26:49 MSK 2025","passed","Thu Jun 19 00:26:53 MSK 2025","TestEnterDataAndSuccessfulOrder","test_check_enter_data_order","",""
"","447","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:25:05 MSK 2025","passed","Thu Jun 19 00:25:05 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","455","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:25:47 MSK 2025","passed","Thu Jun 19 00:25:48 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","441","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:26:09 MSK 2025","passed","Thu Jun 19 00:26:09 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","445","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:25:26 MSK 2025","passed","Thu Jun 19 00:25:27 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","501","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:25:37 MSK 2025","passed","Thu Jun 19 00:25:37 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","1293","Тест перехода на страницу ""Дзена"" путем нажатия на логотип ""Яндекс""","tests","Thu Jun 19 00:27:14 MSK 2025","passed","Thu Jun 19 00:27:15 MSK 2025","TestLogo","test_logo","",""
"","658","Тест перехода на главную страницу путем нажатия на логотип ""Самокат""","tests","Thu Jun 19 00:27:03 MSK 2025","passed","Thu Jun 19 00:27:04 MSK 2025","TestLogo","test_logo","",""
"","447","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:25:58 MSK 2025","passed","Thu Jun 19 00:25:58 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","456","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:25:16 MSK 2025","passed","Thu Jun 19 00:25:16 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
"","457","Проверка соответствия текста вопроса и ответа","tests","Thu Jun 19 00:24:51 MSK 2025","passed","Thu Jun 19 00:24:51 MSK 2025","TestAnswerAndQuestion","test_answer_and_question","",""
